length	calo	calw	fft	linsi	muscle	prank	pc
1	0.000001	0.000001	0.000001	0.000001	0.0000015	0.0000005	0.0094145
1.2	0.0102435	0.0000025	0.000001	0.000001	0.0000035	0.000002	0.0187495
1.4	0.033153	0.0222575	0.0127955	0.0000015	0.022131	0.027626	0.058634
1.6	0.069939	0.03771	0.0276175	0.0000025	0.045731	0.060665	0.103379
1.8	0.1691625	0.063364	0.049848	0.0000065	0.089385	0.1198215	0.2066285
2	0.3150425	0.096714	0.1130005	0.0000455	0.1874105	0.2417425	0.3243415
2.2	0.494507	0.161303	0.204586	0.0921575	0.344971	0.3728755	0.470493
2.4	0.6759335	0.367499	0.639248	0.202961	0.565668	0.6519445	0.6212915
2.6	0.9274225	0.505445	0.758982	0.4293055	0.786446	1.0161125	0.9081805
2.8	1.0088335	0.578714	1.026976	0.591326	0.8832435	1.0294275	0.945076
3	1.330819	0.926846	1.2096625	0.910647	1.2717345	1.394934	1.282107
3.2	1.5791145	1.0992	1.3292535	1.140247	1.4387535	1.6137155	1.448784
3.4	1.8564135	1.1963585	1.4681975	1.3045575	1.77443	1.8777715	1.7085085
3.6	2.178589	1.5209085	1.736002	1.7748045	2.1106415	2.2671735	2.09461
3.8	2.2774735	1.5535735	2.061197	1.914498	2.167985	2.490302	2.197199
4	2.5015125	2.008914	2.2478815	2.2563805	2.399214	2.630637	2.4124875
4.2	3.362304	2.6683745	3.1689185	3.0337445	3.299825	3.5008325	3.361516
4.4	3.554916	3.452638	3.681468	3.4162055	3.76615	3.9006805	3.7186925
4.6	4.1684675	3.220666	3.7497785	3.91977	4.0275385	3.885372	3.988455
4.8	3.8633895	3.7663735	3.6268975	3.5806845	3.88774	3.932355	4.0161365
5	4.606766	4.6788705	4.672675	4.8344435	4.7242325	4.8808915	4.9112685
5.2	5.4268115	5.653649	5.4036555	5.5739345	5.568648	5.561882	5.5085535
5.4	8.040907	7.778062	8.1611515	7.9958595	8.1036475	8.0926875	8.023985
5.6	5.405448	5.1317985	5.4925005	5.3156165	5.3781635	5.6182325	5.167863
5.8	8.182557	8.184607	7.8900615	7.900414	7.998114	8.0101985	8.0878005
6	6.724475	7.052682	6.5205735	6.9717085	6.966228	6.8902375	7.0263675

